1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
14	3	9	15	4	10	16	5	11	17	6	12	1	7	13	2	8
15	4	10	16	5	11	17	6	12	1	7	13	2	8	14	3	9
16	5	11	17	6	12	1	7	13	2	8	14	3	9	15	4	10
17	6	12	1	7	13	2	8	14	3	9	15	4	10	16	5	11
1	8	15	5	12	2	9	16	6	13	3	10	17	7	14	4	11
2	9	16	6	13	3	10	17	7	14	4	11	1	8	15	5	12
3	10	17	7	14	4	11	1	8	15	5	12	2	9	16	6	13
4	11	1	8	15	5	12	2	9	16	6	13	3	10	17	7	14
5	12	2	9	16	6	13	3	10	17	7	14	4	11	1	8	15
6	13	3	10	17	7	14	4	11	1	8	15	5	12	2	9	16
7	14	4	11	1	8	15	5	12	2	9	16	6	13	3	10	17
8	15	5	12	2	9	16	6	13	3	10	17	7	14	4	11	1
9	16	6	13	3	10	17	7	14	4	11	1	8	15	5	12	2
10	17	7	14	4	11	1	8	15	5	12	2	9	16	6	13	3
11	1	8	15	5	12	2	9	16	6	13	3	10	17	7	14	4
12	2	9	16	6	13	3	10	17	7	14	4	11	1	8	15	5
13	3	10	17	7	14	4	11	1	8	15	5	12	2	9	16	6
14	4	11	1	8	15	5	12	2	9	16	6	13	3	10	17	7
15	5	12	2	9	16	6	13	3	10	17	7	14	4	11	1	8
16	6	13	3	10	17	7	14	4	11	1	8	15	5	12	2	9
17	7	14	4	11	1	8	15	5	12	2	9	16	6	13	3	10
1	9	17	8	16	7	15	6	14	5	13	4	12	3	11	2	10
2	10	1	9	17	8	16	7	15	6	14	5	13	4	12	3	11
3	11	2	10	1	9	17	8	16	7	15	6	14	5	13	4	12
4	12	3	11	2	10	1	9	17	8	16	7	15	6	14	5	13
5	13	4	12	3	11	2	10	1	9	17	8	16	7	15	6	14
6	14	5	13	4	12	3	11	2	10	1	9	17	8	16	7	15
7	15	6	14	5	13	4	12	3	11	2	10	1	9	17	8	16
8	16	7	15	6	14	5	13	4	12	3	11	2	10	1	9	17
9	17	8	16	7	15	6	14	5	13	4	12	3	11	2	10	1
10	1	9	17	8	16	7	15	6	14	5	13	4	12	3	11	2
11	2	10	1	9	17	8	16	7	15	6	14	5	13	4	12	3
12	3	11	2	10	1	9	17	8	16	7	15	6	14	5	13	4
13	4	12	3	11	2	10	1	9	17	8	16	7	15	6	14	5
14	5	13	4	12	3	11	2	10	1	9	17	8	16	7	15	6
15	6	14	5	13	4	12	3	11	2	10	1	9	17	8	16	7
16	7	15	6	14	5	13	4	12	3	11	2	10	1	9	17	8
17	8	16	7	15	6	14	5	13	4	12	3	11	2	10	1	9
1	10	2	11	3	12	4	13	5	14	6	15	7	16	8	17	9
2	11	3	12	4	13	5	14	6	15	7	16	8	17	9	1	10
3	12	4	13	5	14	6	15	7	16	8	17	9	1	10	2	11
4	13	5	14	6	15	7	16	8	17	9	1	10	2	11	3	12
5	14	6	15	7	16	8	17	9	1	10	2	11	3	12	4	13
6	15	7	16	8	17	9	1	10	2	11	3	12	4	13	5	14
7	16	8	17	9	1	10	2	11	3	12	4	13	5	14	6	15
8	17	9	1	10	2	11	3	12	4	13	5	14	6	15	7	16
9	1	10	2	11	3	12	4	13	5	14	6	15	7	16	8	17
10	2	11	3	12	4	13	5	14	6	15	7	16	8	17	9	1
11	3	12	4	13	5	14	6	15	7	16	8	17	9	1	10	2
12	4	13	5	14	6	15	7	16	8	17	9	1	10	2	11	3
13	5	14	6	15	7	16	8	17	9	1	10	2	11	3	12	4
14	6	15	7	16	8	17	9	1	10	2	11	3	12	4	13	5
15	7	16	8	17	9	1	10	2	11	3	12	4	13	5	14	6
16	8	17	9	1	10	2	11	3	12	4	13	5	14	6	15	7
17	9	1	10	2	11	3	12	4	13	5	14	6	15	7	16	8
1	11	4	14	7	17	10	3	13	6	16	9	2	12	5	15	8
2	12	5	15	8	1	11	4	14	7	17	10	3	13	6	16	9
3	13	6	16	9	2	12	5	15	8	1	11	4	14	7	17	10
4	14	7	17	10	3	13	6	16	9	2	12	5	15	8	1	11
5	15	8	1	11	4	14	7	17	10	3	13	6	16	9	2	12
6	16	9	2	12	5	15	8	1	11	4	14	7	17	10	3	13
7	17	10	3	13	6	16	9	2	12	5	15	8	1	11	4	14
8	1	11	4	14	7	17	10	3	13	6	16	9	2	12	5	15
9	2	12	5	15	8	1	11	4	14	7	17	10	3	13	6	16
10	3	13	6	16	9	2	12	5	15	8	1	11	4	14	7	17
11	4	14	7	17	10	3	13	6	16	9	2	12	5	15	8	1
12	5	15	8	1	11	4	14	7	17	10	3	13	6	16	9	2
13	6	16	9	2	12	5	15	8	1	11	4	14	7	17	10	3
14	7	17	10	3	13	6	16	9	2	12	5	15	8	1	11	4
15	8	1	11	4	14	7	17	10	3	13	6	16	9	2	12	5
16	9	2	12	5	15	8	1	11	4	14	7	17	10	3	13	6
17	10	3	13	6	16	9	2	12	5	15	8	1	11	4	14	7
1	12	6	17	11	5	16	10	4	15	9	3	14	8	2	13	7
2	13	7	1	12	6	17	11	5	16	10	4	15	9	3	14	8
3	14	8	2	13	7	1	12	6	17	11	5	16	10	4	15	9
4	15	9	3	14	8	2	13	7	1	12	6	17	11	5	16	10
5	16	10	4	15	9	3	14	8	2	13	7	1	12	6	17	11
6	17	11	5	16	10	4	15	9	3	14	8	2	13	7	1	12
7	1	12	6	17	11	5	16	10	4	15	9	3	14	8	2	13
8	2	13	7	1	12	6	17	11	5	16	10	4	15	9	3	14
9	3	14	8	2	13	7	1	12	6	17	11	5	16	10	4	15
10	4	15	9	3	14	8	2	13	7	1	12	6	17	11	5	16
11	5	16	10	4	15	9	3	14	8	2	13	7	1	12	6	17
12	6	17	11	5	16	10	4	15	9	3	14	8	2	13	7	1
13	7	1	12	6	17	11	5	16	10	4	15	9	3	14	8	2
14	8	2	13	7	1	12	6	17	11	5	16	10	4	15	9	3
15	9	3	14	8	2	13	7	1	12	6	17	11	5	16	10	4
16	10	4	15	9	3	14	8	2	13	7	1	12	6	17	11	5
17	11	5	16	10	4	15	9	3	14	8	2	13	7	1	12	6
1	13	8	3	15	10	5	17	12	7	2	14	9	4	16	11	6
2	14	9	4	16	11	6	1	13	8	3	15	10	5	17	12	7
3	15	10	5	17	12	7	2	14	9	4	16	11	6	1	13	8
4	16	11	6	1	13	8	3	15	10	5	17	12	7	2	14	9
5	17	12	7	2	14	9	4	16	11	6	1	13	8	3	15	10
6	1	13	8	3	15	10	5	17	12	7	2	14	9	4	16	11
7	2	14	9	4	16	11	6	1	13	8	3	15	10	5	17	12
8	3	15	10	5	17	12	7	2	14	9	4	16	11	6	1	13
9	4	16	11	6	1	13	8	3	15	10	5	17	12	7	2	14
10	5	17	12	7	2	14	9	4	16	11	6	1	13	8	3	15
11	6	1	13	8	3	15	10	5	17	12	7	2	14	9	4	16
12	7	2	14	9	4	16	11	6	1	13	8	3	15	10	5	17
13	8	3	15	10	5	17	12	7	2	14	9	4	16	11	6	1
14	9	4	16	11	6	1	13	8	3	15	10	5	17	12	7	2
15	10	5	17	12	7	2	14	9	4	16	11	6	1	13	8	3
16	11	6	1	13	8	3	15	10	5	17	12	7	2	14	9	4
17	12	7	2	14	9	4	16	11	6	1	13	8	3	15	10	5
1	14	10	6	2	15	11	7	3	16	12	8	4	17	13	9	5
2	15	11	7	3	16	12	8	4	17	13	9	5	1	14	10	6
3	16	12	8	4	17	13	9	5	1	14	10	6	2	15	11	7
4	17	13	9	5	1	14	10	6	2	15	11	7	3	16	12	8
5	1	14	10	6	2	15	11	7	3	16	12	8	4	17	13	9
6	2	15	11	7	3	16	12	8	4	17	13	9	5	1	14	10
7	3	16	12	8	4	17	13	9	5	1	14	10	6	2	15	11
8	4	17	13	9	5	1	14	10	6	2	15	11	7	3	16	12
9	5	1	14	10	6	2	15	11	7	3	16	12	8	4	17	13
10	6	2	15	11	7	3	16	12	8	4	17	13	9	5	1	14
11	7	3	16	12	8	4	17	13	9	5	1	14	10	6	2	15
12	8	4	17	13	9	5	1	14	10	6	2	15	11	7	3	16
13	9	5	1	14	10	6	2	15	11	7	3	16	12	8	4	17
14	10	6	2	15	11	7	3	16	12	8	4	17	13	9	5	1
15	11	7	3	16	12	8	4	17	13	9	5	1	14	10	6	2
16	12	8	4	17	13	9	5	1	14	10	6	2	15	11	7	3
17	13	9	5	1	14	10	6	2	15	11	7	3	16	12	8	4
1	15	12	9	6	3	17	14	11	8	5	2	16	13	10	7	4
2	16	13	10	7	4	1	15	12	9	6	3	17	14	11	8	5
3	17	14	11	8	5	2	16	13	10	7	4	1	15	12	9	6
4	1	15	12	9	6	3	17	14	11	8	5	2	16	13	10	7
5	2	16	13	10	7	4	1	15	12	9	6	3	17	14	11	8
6	3	17	14	11	8	5	2	16	13	10	7	4	1	15	12	9
7	4	1	15	12	9	6	3	17	14	11	8	5	2	16	13	10
8	5	2	16	13	10	7	4	1	15	12	9	6	3	17	14	11
9	6	3	17	14	11	8	5	2	16	13	10	7	4	1	15	12
10	7	4	1	15	12	9	6	3	17	14	11	8	5	2	16	13
11	8	5	2	16	13	10	7	4	1	15	12	9	6	3	17	14
12	9	6	3	17	14	11	8	5	2	16	13	10	7	4	1	15
13	10	7	4	1	15	12	9	6	3	17	14	11	8	5	2	16
14	11	8	5	2	16	13	10	7	4	1	15	12	9	6	3	17
15	12	9	6	3	17	14	11	8	5	2	16	13	10	7	4	1
16	13	10	7	4	1	15	12	9	6	3	17	14	11	8	5	2
17	14	11	8	5	2	16	13	10	7	4	1	15	12	9	6	3
1	16	14	12	10	8	6	4	2	17	15	13	11	9	7	5	3
2	17	15	13	11	9	7	5	3	1	16	14	12	10	8	6	4
3	1	16	14	12	10	8	6	4	2	17	15	13	11	9	7	5
4	2	17	15	13	11	9	7	5	3	1	16	14	12	10	8	6
5	3	1	16	14	12	10	8	6	4	2	17	15	13	11	9	7
6	4	2	17	15	13	11	9	7	5	3	1	16	14	12	10	8
7	5	3	1	16	14	12	10	8	6	4	2	17	15	13	11	9
8	6	4	2	17	15	13	11	9	7	5	3	1	16	14	12	10
9	7	5	3	1	16	14	12	10	8	6	4	2	17	15	13	11
10	8	6	4	2	17	15	13	11	9	7	5	3	1	16	14	12
11	9	7	5	3	1	16	14	12	10	8	6	4	2	17	15	13
12	10	8	6	4	2	17	15	13	11	9	7	5	3	1	16	14
13	11	9	7	5	3	1	16	14	12	10	8	6	4	2	17	15
14	12	10	8	6	4	2	17	15	13	11	9	7	5	3	1	16
15	13	11	9	7	5	3	1	16	14	12	10	8	6	4	2	17
16	14	12	10	8	6	4	2	17	15	13	11	9	7	5	3	1
17	15	13	11	9	7	5	3	1	16	14	12	10	8	6	4	2
1	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2
2	1	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3
3	2	1	17	16	15	14	13	12	11	10	9	8	7	6	5	4
4	3	2	1	17	16	15	14	13	12	11	10	9	8	7	6	5
5	4	3	2	1	17	16	15	14	13	12	11	10	9	8	7	6
6	5	4	3	2	1	17	16	15	14	13	12	11	10	9	8	7
7	6	5	4	3	2	1	17	16	15	14	13	12	11	10	9	8
8	7	6	5	4	3	2	1	17	16	15	14	13	12	11	10	9
9	8	7	6	5	4	3	2	1	17	16	15	14	13	12	11	10
10	9	8	7	6	5	4	3	2	1	17	16	15	14	13	12	11
11	10	9	8	7	6	5	4	3	2	1	17	16	15	14	13	12
12	11	10	9	8	7	6	5	4	3	2	1	17	16	15	14	13
13	12	11	10	9	8	7	6	5	4	3	2	1	17	16	15	14
14	13	12	11	10	9	8	7	6	5	4	3	2	1	17	16	15
15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	17	16
16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	17
17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1
